Function of Space,Pressure Relationship to Adjacent Areas,Minimum Total ACH,Minimum Outdoor ACH,All Air Exhausted,Air Recirculated by Means of Room Unit,Design Relative Humidity (%),Design Temperature (°F/°C)
Critical and intensive care,NR,6,2,NR,No,30-60,70-75/21-24
Delivery room (Cesarean),Positive,20,4,Yes,No,20-60,68-75/20-24
Emergency department decontamination,Negative,12,2,Yes,NR,NR,NR
Emergency department exam/treatment room (p),Negative,6,2,Yes (q),NR,Max 60,70-75/21-24
Emergency department public waiting area,NR,6,2,NR,NR,NR,70-75/21-24
Intermediate care (s),Negative,1.5,2,NR,No,20-60,70-75/21-24
Laser eye room,Positive,8,3,Yes,No,30-60,72-78/22-26
Medical/anesthesia gas storage (r),Negative,6,2,Yes,No,20-60,68-75/20-24
Newborn intensive care,Positive,20,4,NR,No,20-60,70-75/21-24
"Operating room (m), (o)",Positive,20,4,"Yes (q), (w)",No,Max 60,70-75/21-24
"Operating surgical cystoscopic rooms (m), (o)",Positive,15,3,NR,NR,NR,70-75/21-24
"Procedure room (o), (d)",Positive,12,2,NR,No,Max 60,70-75/21-24
Radiology waiting rooms,NR,6,2,NR,NR,20-60,70-75/21-24
Recovery room,Positive,15,3,NR,No,20-60,70-75/21-24
Substerile service area,NR,12,2,Yes (q),NR,NR,70-75/21-24
Trauma room (p),Negative,6,2,Yes (q),No,40-60,70-75/21-24
Treatment room (p),Negative,6,2,NR,No,NR,70-75/21-24
Triage,NR,6,2,NR,No,NR,70-75/21-24
Wound intensive care (burn unit),NR,6,2,NR,No,NR,70-75/21-24
Continued care nursery,NR,6,2,NR,NR,30-60,72-78/22-26
Labor/delivery/recovery (LDR) (s),NR,6,2,NR,No,Max 60,70-75/21-24
Labor/delivery/recovery/postpartum (LDRP) (s),NR,6,2,NR,NR,Max 60,70-75/21-24
Newborn nursery suite,NR,6,2,NR,NR,30-60,72-78/22-26
Nourishment area or room,NR,2,2,NR,No,Max 60,70-75/21-24
Patient corridor,NR,2,2,NR,NR,Max 60,70-75/21-24
Patient room,NR,4,2,NR,No,Max 60,70-75/21-24
PE anteroom (t),(e),10,2,Yes,No,NR,NR
Protective environment room (t),Positive,12,2,Yes,No,NR,NR
Bathing room,Negative,10,2,Yes,No,NR,70-75/21-24
Occupational therapy,Negative,6,2,NR,NR,NR,70-75/21-24
Physical therapy,Negative,4,2,NR,NR,NR,70-75/21-24
Resident sleeping/activity/dining,Negative,4,2,NR,NR,NR,70-75/21-24
